Make,Model,Variant,Ex-Showroom_Price (in Rupees),Displacement(in cc),Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity(in Litres),Fuel_Type,Height(in mm),Length(in mm),Width(in mm),Body_Type,Doors,City_Mileage,Highway_Mileage,ARAI_Certified_Mileage,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Power_Steering,Power_Windows,Keyless_Entry,Power,Torque,Odometer,Speedometer,Tachometer,Tripmeter,Seating_Capacity,Seats_Material,Type,Wheelbase(in mm),Wheels_Size,Start_/_Stop_Button,12v_Power_Outlet,Audiosystem,Aux-in_Compatibility,Average_Fuel_Consumption,Basic_Warranty,Bluetooth,Boot-lid_Opener,Boot_Space(in),CD_/_MP3_/_DVD_Player,Central_Locking,Child_Safety_Locks,Clock,Cup_Holders,Distance_to_Empty,Door_Pockets,Engine_Malfunction_Light,Extended_Warranty,FM_Radio,Fuel-lid_Opener,Fuel_Gauge,Handbrake,Instrument_Console,Low_Fuel_Warning,Minimum_Turning_Radius,Multifunction_Display,Sun_Visor,Ventilation_System,Auto-Dimming_Rear-View_Mirror,Hill_Assist,Gear_Indicator,Ambient_Lightning,Cargo/Boot_Lights,Engine_Immobilizer,High_Speed_Alert_System,Lane_Watch_Camera/_Side_Mirror_Camera,Passenger_Side_Seat-Belt_Reminder,Seat_Back_Pockets,Voice_Recognition,ABS_(Anti-lock_Braking_System),Headlight_Reminder,Adjustable_Headrests,Gross_Vehicle_Weight(in Kg),Airbags,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Gear_Shift_Reminder,Number_of_Airbags,Key_Off_Reminder,USB_Compatibility,Android_Auto,Apple_CarPlay,Cigarette_Lighter,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Navigation_System,Second_Row_AC_Vents,Tyre_Pressure_Monitoring_System,iPod_Compatibility,ESP_(Electronic_Stability_Program),Cooled_Glove_Box,Turbocharger,ISOFIX_(Child-Seat_Mount),Rain_Sensing_Wipers,Paddle_Shifters,ASR_/_Traction_Control,Cruise_Control,USB_Ports
Mahindra,Xuv500,W7 At,1539488,2179,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,70,Diesel,1785,4585,1890,SUV,5,16 km/litre,23 km/litre,16 km/litre,6,200 mm,Ventilated Disc,Ventilated Disc,McPherson type with anti-roll bar,Multilink Type with Coil Spring,P235/65R17,P235/65R17,Electric Power,All Windows,Yes,155PS@3750rpm,330Nm@1750-2800rpm,Digital,Analog,Analog,Yes,7,Fabric,Automatic,2700,P235/65R17,Yes,3,CD Player with USB & Aux-in,Yes,Yes,3 years /100000 Kms (years/distance whichever comes first),Yes,"With Remote, Internal",96,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,"4th years /1,20,000 Kms (years/distance whichever comes first)",Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.6 meter,Yes,Driver & Front Passenger,Fully automatic climate control,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,All Rows,2510,"Driver frontal airbag, Front passenger frontal airbag, Drive side airbag",Yes,Yes,Yes,Yes,6,Yes,Yes,No,No,No,Yes,Electric Adjustment,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,1
Mahindra,Xuv500,W9,1588943,2179,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,70,Diesel,1785,4585,1890,SUV,5,16 km/litre,23 km/litre,16 km/litre,6,200 mm,Ventilated Disc,Ventilated Disc,McPherson type with anti-roll bar,Multilink Type with Coil Spring,P235/65R15,P235/65R15,Electric Power,All Windows,Smart Key,155PS@3750rpm,330Nm@1750-2800rpm,Digital,Analog,Analog,Yes,7,Leather,Manual,2700,P235/65R15,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,3 years /100000 Kms (years/distance whichever comes first),Yes,"With Remote, Internal",96,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,"4th years /1,20,000 Kms (years/distance whichever comes first)",Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.6 meter,Yes,Driver & Front Passenger,Fully automatic climate control,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,All Rows,2510,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,Yes,Yes,No,No,No,Yes,Electric Adjustment,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,1
Mahindra,Xuv500,W9 At,1710118,2179,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,70,Diesel,1785,4585,1890,SUV,5,16 km/litre,23 km/litre,16 km/litre,6,200 mm,Ventilated Disc,Ventilated Disc,McPherson type with anti-roll bar,Multilink Type with Coil Spring,P235/65R17,P235/65R17,Electric Power,All Windows,Smart Key,155PS@3750rpm,330Nm@1750-2800rpm,Digital,Analog,Analog,Yes,7,Leather,Automatic,2700,P235/65R17,Yes,3,CD Player with USB & Aux-in,Yes,Yes,3 years /100000 Kms (years/distance whichever comes first),Yes,"With Remote, Internal",96,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,"4th years /1,20,000 Kms (years/distance whichever comes first)",Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.6 meter,Yes,Driver & Front Passenger,Fully automatic climate control,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,All Rows,2510,"Driver frontal airbag, Drive side airbag",Yes,Yes,Yes,Yes,2,Yes,Yes,No,No,No,Yes,Electric Adjustment,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,1
Mahindra,Xuv500,W11,1716319,2179,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,70,Diesel,1785,4585,1890,SUV,5,16 km/litre,23 km/litre,16 km/litre,6,200 mm,Ventilated Disc,Ventilated Disc,McPherson type with anti-roll bar,Multilink Type with Coil Spring,P235/65R15,P235/65R15,Electric Power,All Windows,Smart Key,155PS@3750rpm,330Nm@1750-2800rpm,Digital,Analog,Analog,Yes,7,Leather,Manual,2700,P235/65R15,No,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,3 years /100000 Kms (years/distance whichever comes first),Yes,"With Remote, Internal",96,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,"4th years /1,20,000 Kms (years/distance whichever comes first)",Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.6 meter,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,All Rows,2510,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",Yes,Yes,Yes,Yes,6,Yes,Yes,Yes,Yes,No,Yes,Electric Adjustment,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,1
Mahindra,Xuv500,W11 At,1837586,2179,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,70,Diesel,1785,4585,1890,SUV,5,16 km/litre,23 km/litre,16 km/litre,6,200 mm,Ventilated Disc,Ventilated Disc,McPherson type with anti-roll bar,Multilink Type with Coil Spring,P235/65R17,P235/65R17,Electric Power,All Windows,Smart Key,155PS@3750rpm,330Nm@1750-2800rpm,Digital,Analog,Analog,Yes,7,Leather,Automatic,2700,P235/65R17,Yes,3,CD Player with USB & Aux-in,Yes,Yes,3 years /100000 Kms (years/distance whichever comes first),Yes,"With Remote, Internal",96,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,"4th years /1,20,000 Kms (years/distance whichever comes first)",Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.6 meter,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,All Rows,2510,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",Yes,Yes,Yes,Yes,6,Yes,Yes,Yes,Yes,No,Yes,Electric Adjustment,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,1
Mahindra,Xuv500,W11 (O),1741319,2179,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,70,Diesel,1785,4585,1890,SUV,5,16 km/litre,23 km/litre,16 km/litre,6,200 mm,Ventilated Disc,Ventilated Disc,McPherson type with anti-roll bar,Multilink Type with Coil Spring,P235/60 R18,P235/60 R18,Electric Power,All Windows,Smart Key,155PS@3750rpm,330Nm@1750-2800rpm,Digital,Analog,Analog,Yes,7,Leather,Manual,2700,P235/60 R18,No,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,3 years /100000 Kms (years/distance whichever comes first),Yes,"With Remote, Internal",96,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,"4th years /1,20,000 Kms (years/distance whichever comes first)",Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.6 meter,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,All Rows,2510,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",Yes,Yes,Yes,Yes,6,Yes,Yes,Yes,Yes,No,Yes,Electric Adjustment,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,1
Mahindra,Xuv500,W11 (O) At,1862586,2179,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,70,Diesel,1785,4585,1890,SUV,5,16 km/litre,23 km/litre,16 km/litre,6,200 mm,Ventilated Disc,Ventilated Disc,McPherson type with anti-roll bar,Multilink Type with Coil Spring,P235/60 R18,P235/60 R18,Electric Power,All Windows,Smart Key,155PS@3750rpm,330Nm@1750-2800rpm,Digital,Analog,Analog,Yes,7,Leather,Automatic,2700,P235/60 R18,Yes,3,CD Player with USB & Aux-in,Yes,Yes,3 years /100000 Kms (years/distance whichever comes first),Yes,"With Remote, Internal",96,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,"4th years /1,20,000 Kms (years/distance whichever comes first)",Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.6 meter,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,All Rows,2510,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",Yes,Yes,Yes,Yes,6,Yes,Yes,Yes,Yes,No,Yes,Electric Adjustment,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,1
Mahindra,Xuv500,G At,1610180,2179,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,70,Petrol,1785,4585,1890,SUV,5,12 km/litre,23 km/litre,13.85 km/litre,6,200 mm,Ventilated Disc,Ventilated Disc,McPherson type with anti-roll bar,Multilink Type with Coil Spring,235/65R17,235/65R17,Electric Power,All Windows,Yes,140PS@4500rpm,320Nm@2000 - 3000rpm,Digital,Analog,Analog,Yes,7,Fabric,Automatic,2700,235/65R17,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,3 years /100000 Kms (years/distance whichever comes first),Yes,With Remote,96,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,"4th years /1,20,000 Kms (years/distance whichever comes first)",Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.6 meter,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,All Rows,2510,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,Yes,Yes,No,No,No,Yes,Electric Adjustment,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,1
Mahindra,Xuv500,W7 At,1539488,2179,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,70,Diesel,1785,4585,1890,SUV,5,16 km/litre,23 km/litre,16 km/litre,6,200 mm,Ventilated Disc,Ventilated Disc,McPherson type with anti-roll bar,Multilink Type with Coil Spring,P235/65R17,P235/65R17,Electric Power,All Windows,Yes,155PS@3750rpm,330Nm@1750-2800rpm,Digital,Analog,Analog,Yes,7,Fabric,Automatic,2700,P235/65R17,Yes,3,CD Player with USB & Aux-in,Yes,Yes,3 years /100000 Kms (years/distance whichever comes first),Yes,"With Remote, Internal",96,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,"4th years /1,20,000 Kms (years/distance whichever comes first)",Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.6 meter,Yes,Driver & Front Passenger,Fully automatic climate control,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,All Rows,2510,"Driver frontal airbag, Front passenger frontal airbag, Drive side airbag",Yes,Yes,Yes,Yes,6,Yes,Yes,No,No,No,Yes,Electric Adjustment,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,1
Mahindra,Xuv500,W9,1588943,2179,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,70,Diesel,1785,4585,1890,SUV,5,16 km/litre,23 km/litre,16 km/litre,6,200 mm,Ventilated Disc,Ventilated Disc,McPherson type with anti-roll bar,Multilink Type with Coil Spring,P235/65R15,P235/65R15,Electric Power,All Windows,Smart Key,155PS@3750rpm,330Nm@1750-2800rpm,Digital,Analog,Analog,Yes,7,Leather,Manual,2700,P235/65R15,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,3 years /100000 Kms (years/distance whichever comes first),Yes,"With Remote, Internal",96,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,"4th years /1,20,000 Kms (years/distance whichever comes first)",Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.6 meter,Yes,Driver & Front Passenger,Fully automatic climate control,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,All Rows,2510,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,Yes,Yes,No,No,No,Yes,Electric Adjustment,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,1
Mahindra,Xuv500,W9 At,1710118,2179,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,70,Diesel,1785,4585,1890,SUV,5,16 km/litre,23 km/litre,16 km/litre,6,200 mm,Ventilated Disc,Ventilated Disc,McPherson type with anti-roll bar,Multilink Type with Coil Spring,P235/65R17,P235/65R17,Electric Power,All Windows,Smart Key,155PS@3750rpm,330Nm@1750-2800rpm,Digital,Analog,Analog,Yes,7,Leather,Automatic,2700,P235/65R17,Yes,3,CD Player with USB & Aux-in,Yes,Yes,3 years /100000 Kms (years/distance whichever comes first),Yes,"With Remote, Internal",96,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,"4th years /1,20,000 Kms (years/distance whichever comes first)",Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.6 meter,Yes,Driver & Front Passenger,Fully automatic climate control,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,All Rows,2510,"Driver frontal airbag, Drive side airbag",Yes,Yes,Yes,Yes,2,Yes,Yes,No,No,No,Yes,Electric Adjustment,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,1
Mahindra,Xuv500,W11,1716319,2179,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,70,Diesel,1785,4585,1890,SUV,5,16 km/litre,23 km/litre,16 km/litre,6,200 mm,Ventilated Disc,Ventilated Disc,McPherson type with anti-roll bar,Multilink Type with Coil Spring,P235/65R15,P235/65R15,Electric Power,All Windows,Smart Key,155PS@3750rpm,330Nm@1750-2800rpm,Digital,Analog,Analog,Yes,7,Leather,Manual,2700,P235/65R15,No,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,3 years /100000 Kms (years/distance whichever comes first),Yes,"With Remote, Internal",96,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,"4th years /1,20,000 Kms (years/distance whichever comes first)",Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.6 meter,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,All Rows,2510,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",Yes,Yes,Yes,Yes,6,Yes,Yes,Yes,Yes,No,Yes,Electric Adjustment,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,1
Mahindra,Xuv500,W11 At,1837586,2179,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,70,Diesel,1785,4585,1890,SUV,5,16 km/litre,23 km/litre,16 km/litre,6,200 mm,Ventilated Disc,Ventilated Disc,McPherson type with anti-roll bar,Multilink Type with Coil Spring,P235/65R17,P235/65R17,Electric Power,All Windows,Smart Key,155PS@3750rpm,330Nm@1750-2800rpm,Digital,Analog,Analog,Yes,7,Leather,Automatic,2700,P235/65R17,Yes,3,CD Player with USB & Aux-in,Yes,Yes,3 years /100000 Kms (years/distance whichever comes first),Yes,"With Remote, Internal",96,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,"4th years /1,20,000 Kms (years/distance whichever comes first)",Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.6 meter,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,All Rows,2510,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",Yes,Yes,Yes,Yes,6,Yes,Yes,Yes,Yes,No,Yes,Electric Adjustment,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,1
Mahindra,Xuv500,W11 (O),1741319,2179,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,70,Diesel,1785,4585,1890,SUV,5,16 km/litre,23 km/litre,16 km/litre,6,200 mm,Ventilated Disc,Ventilated Disc,McPherson type with anti-roll bar,Multilink Type with Coil Spring,P235/60 R18,P235/60 R18,Electric Power,All Windows,Smart Key,155PS@3750rpm,330Nm@1750-2800rpm,Digital,Analog,Analog,Yes,7,Leather,Manual,2700,P235/60 R18,No,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,3 years /100000 Kms (years/distance whichever comes first),Yes,"With Remote, Internal",96,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,"4th years /1,20,000 Kms (years/distance whichever comes first)",Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.6 meter,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,All Rows,2510,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",Yes,Yes,Yes,Yes,6,Yes,Yes,Yes,Yes,No,Yes,Electric Adjustment,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,1
Mahindra,Xuv500,W11 (O) At,1862586,2179,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,70,Diesel,1785,4585,1890,SUV,5,16 km/litre,23 km/litre,16 km/litre,6,200 mm,Ventilated Disc,Ventilated Disc,McPherson type with anti-roll bar,Multilink Type with Coil Spring,P235/60 R18,P235/60 R18,Electric Power,All Windows,Smart Key,155PS@3750rpm,330Nm@1750-2800rpm,Digital,Analog,Analog,Yes,7,Leather,Automatic,2700,P235/60 R18,Yes,3,CD Player with USB & Aux-in,Yes,Yes,3 years /100000 Kms (years/distance whichever comes first),Yes,"With Remote, Internal",96,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,"4th years /1,20,000 Kms (years/distance whichever comes first)",Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.6 meter,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,All Rows,2510,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",Yes,Yes,Yes,Yes,6,Yes,Yes,Yes,Yes,No,Yes,Electric Adjustment,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,1
Mahindra,Xuv500,W11 (O) Awd,1852488,2179,4,4,AWD (All Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,70,Diesel,1785,4585,1890,SUV,5,16 km/litre,23 km/litre,16 km/litre,6,200 mm,Ventilated Disc,Ventilated Disc,McPherson type with anti-roll bar,Multilink Type with Coil Spring,P235/60 R18,P235/60 R18,Electric Power,All Windows,Smart Key,155PS@3750rpm,330Nm@1750-2800rpm,Digital,Analog,Analog,Yes,7,Leather,Manual,2700,P235/60 R18,No,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,3 years /100000 Kms (years/distance whichever comes first),Yes,"With Remote, Internal",96,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,"4th years /1,20,000 Kms (years/distance whichever comes first)",Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.6 meter,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,All Rows,2510,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",Yes,Yes,Yes,Yes,6,Yes,Yes,Yes,Yes,No,Yes,Electric Adjustment,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,1
Mahindra,Xuv500,W11 (O) Awd At,1973664,2179,4,4,AWD (All Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,70,Diesel,1785,4585,1890,SUV,5,16 km/litre,23 km/litre,16 km/litre,6,200 mm,Ventilated Disc,Ventilated Disc,McPherson type with anti-roll bar,Multilink Type with Coil Spring,P235/60 R18,P235/60 R18,Electric Power,All Windows,Smart Key,155PS@3750rpm,330Nm@1750-2800rpm,Digital,Analog,Analog,Yes,7,Leather,Automatic,2700,P235/60 R18,Yes,3,CD Player with USB & Aux-in,Yes,Yes,3 years /100000 Kms (years/distance whichever comes first),Yes,"With Remote, Internal",96,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,"4th years /1,20,000 Kms (years/distance whichever comes first)",Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.6 meter,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,All Rows,2510,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",Yes,Yes,Yes,Yes,6,Yes,Yes,Yes,Yes,No,Yes,Electric Adjustment,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,1
Tata,Hexa,Xm Plus 4X2,1639374,2179,4,4,RWD (Rear Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,60,Diesel,1791,4788,1903,SUV,5,14 km/litre,17.6 km/litre,17.6 km/litre,6,200 mm,Ventilated Disc,Ventilated Disc,Double Wishbone type with Coil Springs,Coil Spring type 5 link rigid axle suspension,235/70 R16,235/70 R16,Electric Power,All Windows,Remote,156PS@4000rpm,400Nm@1700-2700rpm,Digital,Analog,Analog,Yes,7,Fabric,Manual,2850,235/70 R16,No,Yes,CD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,Internal,128,Yes,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,2 years /100000 Kms (years/distance whichever comes first),Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.75 meter,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Front Row,2510,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,Yes,Yes,No,No,Yes,Yes,Manual Adjustment,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,1
Tata,Hexa,Xt 4X4,1929417,2179,4,3,RWD (Rear Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,60,Diesel,1791,4788,1903,SUV,5,14 km/litre,17.6 km/litre,17.6 km/litre,6,200 mm,Ventilated Disc,Ventilated Disc,Double Wishbone type with Coil Springs,Coil Spring type 5 link rigid axle suspension,235/55 R19,235/55 R19,Electric Power,All Windows,Remote,156PS@4000rpm,320Nm@1700-2700rpm,Digital,Analog,Analog,Yes,6,Fabric,Manual,2850,235/55 R19,No,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,Internal,128,Yes,Yes,Yes,Digital,Front & Rear,No,Front & Rear,Yes,2 years /100000 Kms (years/distance whichever comes first),Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.75 meter,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,2510,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",Yes,Yes,Yes,Yes,6,Yes,Yes,No,No,Yes,Yes,Manual Adjustment,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,1
Tata,Hexa,Xta 4X2,1912593,2179,4,4,AWD (All Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,60,Diesel,1791,4788,1903,SUV,5,14 km/litre,17.6 km/litre,17.6 km/litre,6,200 mm,Ventilated Disc,Ventilated Disc,Double Wishbone type with Coil Springs,Coil Spring type 5 link rigid axle suspension,235/55 R19,235/55 R19,Electric Power,All Windows,Remote,156PS@4000rpm,400Nm@1700-2700rpm,Digital,Analog,Analog,Yes,6,Fabric,Automatic,2850,235/55 R19,No,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,Internal,128,Yes,Yes,Yes,Yes,Front & Rear,Yes,Front & Rear,Yes,2 years /100000 Kms (years/distance whichever comes first),Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.75 meter,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,2510,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",Yes,Yes,Yes,Yes,6,Yes,Yes,No,No,Yes,Yes,Manual Adjustment,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,1
